date,Upstream_water_level
2015-01-01,171.44
2015-01-02,171.42
2015-01-03,171.38
2015-01-04,171.28
2015-01-05,171.17
2015-01-06,170.98
2015-01-07,170.98
2015-01-08,170.93
2015-01-09,170.91
2015-01-10,170.8
2015-01-11,170.82
2015-01-12,170.75
2015-01-13,170.72
2015-01-14,170.68
2015-01-15,170.67
2015-01-16,170.65
2015-01-17,170.59
2015-01-18,170.62
2015-01-19,170.57
2015-01-20,170.6
2015-01-21,170.63
2015-01-22,170.49
2015-01-23,170.49
2015-01-24,170.51
2015-01-25,170.52
2015-01-26,170.5
2015-01-27,170.44
2015-01-28,170.46
2015-01-29,170.51
2015-01-30,170.61
2015-01-31,170.63
2015-02-01,170.59
2015-02-02,170.58
2015-02-03,170.59
2015-02-04,170.52
2015-02-05,170.51
2015-02-06,170.48
2015-02-07,170.51
2015-02-08,170.45
2015-02-09,170.38
2015-02-10,170.31
2015-02-11,170.29
2015-02-12,170.23
2015-02-13,170.13
2015-02-14,170.02
2015-02-15,169.99
2015-02-16,169.85
2015-02-17,169.65
2015-02-18,169.49
2015-02-19,169.25
2015-02-20,169.09
2015-02-21,168.96
2015-02-22,168.87
2015-02-23,168.74
2015-02-24,168.65
2015-02-25,168.55
2015-02-26,168.42
2015-02-27,168.24
2015-02-28,168.15
2015-03-01,168.1
2015-03-02,167.95
2015-03-03,167.74
2015-03-04,167.5
2015-03-05,167.4
2015-03-06,167.26
2015-03-07,167.15
2015-03-08,167.12
2015-03-09,167.01
2015-03-10,166.76
2015-03-11,166.64
2015-03-12,166.46
2015-03-13,166.3
2015-03-14,166.23
2015-03-15,166.14
2015-03-16,165.99
2015-03-17,165.88
2015-03-18,165.66
2015-03-19,165.52
2015-03-20,165.45
2015-03-21,165.27
2015-03-22,165.15
2015-03-23,165.06
2015-03-24,164.95
2015-03-25,164.95
2015-03-26,164.89
2015-03-27,164.8
2015-03-28,164.71
2015-03-29,164.58
2015-03-30,164.52
2015-03-31,164.47
2015-04-01,164.48
2015-04-02,164.57
2015-04-03,164.6
2015-04-04,164.87
2015-04-05,165.15
2015-04-06,165.54
2015-04-07,165.86
2015-04-08,166.19
2015-04-09,166.39
2015-04-10,166.51
2015-04-11,166.63
2015-04-12,166.8
2015-04-13,166.94
2015-04-14,167.2
2015-04-15,167.46
2015-04-16,167.64
2015-04-17,167.81
2015-04-18,167.96
2015-04-19,167.9
2015-04-20,167.68
2015-04-21,167.28
2015-04-22,166.85
2015-04-23,166.39
2015-04-24,165.88
2015-04-25,165.22
2015-04-26,164.59
2015-04-27,164
2015-04-28,163.53
2015-04-29,162.88
2015-04-30,162.29
2015-05-01,161.75
2015-05-02,161.42
2015-05-03,160.96
2015-05-04,160.57
2015-05-05,159.94
2015-05-06,159.42
2015-05-07,158.81
2015-05-08,158.16
2015-05-09,157.56
2015-05-10,156.93
2015-05-11,156.51
2015-05-12,156.16
2015-05-13,155.78
2015-05-14,155.36
2015-05-15,155.08
2015-05-16,154.71
2015-05-17,154.26
2015-05-18,153.87
2015-05-19,153.37
2015-05-20,152.9
2015-05-21,152.45
2015-05-22,152.09
2015-05-23,151.87
2015-05-24,151.52
2015-05-25,151.17
2015-05-26,150.93
2015-05-27,150.63
2015-05-28,150.19
2015-05-29,150
2015-05-30,149.94
2015-05-31,149.75
2015-06-01,149.39
2015-06-02,149.03
2015-06-03,149.86
2015-06-04,150.56
2015-06-05,151.8
2015-06-06,152.86
2015-06-07,153.87
2015-06-08,154.05
2015-06-09,153.34
2015-06-10,152.75
2015-06-11,152.05
2015-06-12,151.33
2015-06-13,150.5
2015-06-14,149.59
2015-06-15,148.76
2015-06-16,148.01
2015-06-17,147.49
2015-06-18,147.73
2015-06-19,146.87
2015-06-20,145.88
2015-06-21,145.22
2015-06-22,145.45
2015-06-23,145.6
2015-06-24,145.3
2015-06-25,145.52
2015-06-26,145.68
2015-06-27,145.48
2015-06-28,146.15
2015-06-29,146.44
2015-06-30,145.55
2015-07-01,145.24
2015-07-02,146.33
2015-07-03,146.49
2015-07-04,146.55
2015-07-05,146.56
2015-07-06,147.03
2015-07-07,146.15
2015-07-08,145.88
2015-07-09,145.7
2015-07-10,145.34
2015-07-11,145.53
2015-07-12,145.56
2015-07-13,145.57
2015-07-14,145.44
2015-07-15,145.63
2015-07-16,145.77
2015-07-17,145.44
2015-07-18,145.89
2015-07-19,146.06
2015-07-20,146.23
2015-07-21,146.16
2015-07-22,145.75
2015-07-23,145.68
2015-07-24,145.85
2015-07-25,146.55
2015-07-26,146.91
2015-07-27,146.75
2015-07-28,146.4
2015-07-29,146.25
2015-07-30,146.2
2015-07-31,146.09
2015-08-01,145.94
2015-08-02,145.68
2015-08-03,145.28
2015-08-04,145.41
2015-08-05,145.51
2015-08-06,145.68
2015-08-07,145.62
2015-08-08,145.63
2015-08-09,145.49
2015-08-10,145.48
2015-08-11,145.6
2015-08-12,145.76
2015-08-13,145.86
2015-08-14,146.04
2015-08-15,145.99
2015-08-16,145.81
2015-08-17,145.72
2015-08-18,145.91
2015-08-19,147.45
2015-08-20,149.92
2015-08-21,151.42
2015-08-22,152.61
2015-08-23,153.06
2015-08-24,153.05
2015-08-25,152.7
2015-08-26,152.23
2015-08-27,152.06
2015-08-28,152.32
2015-08-29,152.44
2015-08-30,152.61
2015-08-31,152.88
2015-09-01,152.83
2015-09-02,152.68
2015-09-03,152.65
2015-09-04,152.93
2015-09-05,153.28
